,제목,날짜,평점,장르,국가,상영시간,개봉일,줄거리
349,시간을 달리는 소녀,2020-06-04,9.41점,"애니메이션,가족,드라마,판타지",일본,97분 ,"2016.01.14재개봉,2014.04.25재개봉,2007.06.14개봉","저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
350,아이즈 온 미 : 더 무비,2020-06-05,없음,공연실황,한국,104분 ,2020.06.10개봉,"2018년 10월, 데뷔와 동시에 국내외 음원 및 음반차트 석권, 음악방송 1위, 신인상 수상 등 연일 기록을 경신하며 대세 그룹으로 자리잡은 아이즈원(IZ*ONE), 12명의 소녀들이 스크린에 등장!  아이즈원(IZ*ONE)과 위즈원이 함께한 잊을 수 없는 콘서트 현장부터 콘서트 VCR 현장 메이킹, 유닛 신곡 녹음현장, 신곡 안무연습, 현장 리허설 장면 등 다양한 비하인드도 이번 영화를 통해 공개 된다. 위즈원에게 특별한 추억과 선물이 될 영화, 가 온다!"
351,가버나움,2020-06-05,9.54점,드라마,"레바논,프랑스",126분 ,2019.01.24개봉,"나를 세상에 태어나게 한 ""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
352,위대한 쇼맨,2020-06-05,9.30점,"드라마,뮤지컬",미국,104분 ,"2020.05.21재개봉,2017.12.20개봉","쇼 비즈니스의 창시자이자, 꿈의 무대로 전세계를 매료시킨 남자‘바넘’의 이야기에서 영감을 받아 탄생한 오리지널 뮤지컬 영화 . 이후 다시 뮤지컬 영화로 돌아온 휴 잭맨부터 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠다야까지할리우드 최고의 배우들이 합류해 환상적인 앙상블을 선보인다.여기에  제작진과  작사팀의 합류로더욱 풍성해진 비주얼과 스토리, 음악까지 선보일 은‘우리는 누구나 특별하다’는 메시지로 관객들에게 재미는 물론, 감동까지 선사할 것이다.THIS IS ME! 우리는 누구나 특별하다!"
353,패왕별희 디 오리지널,2020-06-05,9.64점,드라마,"중국,홍콩",171분 ,"2020.05.01재개봉,2017.03.30재개봉,1993.12.24개봉","어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의).  세상에 둘도 없는 절친한 아우와 형이지만,  ‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다.  하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고,  그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…  사랑과 운명, 아름다움을 뒤바꾼 화려한 막이 열린다!"
354,"나, 다니엘 블레이크",2020-06-05,9.28점,드라마,"영국,프랑스,벨기에",100분 ,2016.12.08개봉,"평생을 성실하게 목수로 살아가던 다니엘은 지병인 심장병이 악화되어 일을 계속 해나갈 수 없는 상황이 된다. 다니엘은 실업급여를 받기 위해 찾아간 관공서에서 복잡하고 관료적인 절차 때문에 번번히 좌절한다. 그러던 어느 날 다니엘은 두 아이와 함께 런던에서 이주한 싱글맘 케이티를 만나 도움을 주게되고, 서로를 의지하게 되는데..."
355,우리들,2020-06-05,9.21점,드라마,한국,94분 ,2016.06.16개봉,"그 여름, 나에게도 친구가 생겼다… “내 마음이 들리니”  언제나 혼자인 외톨이 선은 모두가 떠나고 홀로 교실에 남아있던 방학식 날, 전학생 지아를 만난다. 서로의 비밀을 나누며 순식간에 세상 누구보다 친한 사이가 된 선과 지아는 생애 가장 반짝이는 여름을 보내는데, 개학 후 학교에서 만난 지아는 어쩐 일인지 선에게 차가운 얼굴을 하고 있다.  선을 따돌리는 보라의 편에 서서 선을 외면하는 지아와 다시 혼자가 되고 싶지 않은 선. 어떻게든 관계를 회복해보려 노력하던 선은 결국 지아의 비밀을 폭로해버리고 마는데...  선과 지아.  우리는 다시 '우리'가 될 수 있을까?"
356,톰보이,2020-06-05,8.76점,드라마,프랑스,82분 ,2020.05.14개봉,"새로 이사 온 아이, ‘미카엘’.파란색을 좋아하고, 끝내주는 축구 실력과 유난히 잘 어울리는 짧은 머리로친구들을 사로잡는 그의 진짜 이름은 ‘로레’!눈물겹게 아름답고, 눈부시게 다정했던10살 여름의 비밀 이야기가 시작된다!"
357,러빙 빈센트,2020-06-05,9.18점,"애니메이션,미스터리","영국,폴란드",107분 ,"2018.12.13재개봉,2017.11.09개봉","살아생전 단 한 점의 그림만을 팔았던 화가 ‘빈센트’의 죽음 후 1년. 아버지의 부탁을 받고 ‘빈센트’의 소식을 전하기 위해 떠난 ‘아르망’은‘빈센트’가 마지막 머물렀던 마을에서 놀라운 사실들을 알게 되는데…2017년 반 고흐 열풍을 일으킨 가 탄생되기까지두 명의 감독과 제작자, 107명의 아티스트들이 간직한10년 간의 특별한 스토리가 함께 공개된다."
358,어느 가족,2020-06-05,9.25점,드라마,일본,121분 ,2018.07.26개봉,할머니의 연금과 물건을 훔쳐 생활하며 가난하지만 웃음이 끊이지 않는 어느 가족.우연히 길 위에서 떨고 있는 한 소녀를 발견하고 집으로 데려와 가족처럼 함께 살게 된다.그런데 뜻밖의 사건으로 가족이 뿔뿔이 흩어지게 되고 각자 품고 있던 비밀과 간절한 바람이 드러나게 되는데…
359,시간을 달리는 소녀,2020-06-05,9.41점,"애니메이션,가족,드라마,판타지",일본,97분 ,"2016.01.14재개봉,2014.04.25재개봉,2007.06.14개봉","저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
360,아이즈 온 미 : 더 무비,2020-06-06,없음,공연실황,한국,104분 ,2020.06.10개봉,"2018년 10월, 데뷔와 동시에 국내외 음원 및 음반차트 석권, 음악방송 1위, 신인상 수상 등 연일 기록을 경신하며 대세 그룹으로 자리잡은 아이즈원(IZ*ONE), 12명의 소녀들이 스크린에 등장!  아이즈원(IZ*ONE)과 위즈원이 함께한 잊을 수 없는 콘서트 현장부터 콘서트 VCR 현장 메이킹, 유닛 신곡 녹음현장, 신곡 안무연습, 현장 리허설 장면 등 다양한 비하인드도 이번 영화를 통해 공개 된다. 위즈원에게 특별한 추억과 선물이 될 영화, 가 온다!"
361,가버나움,2020-06-06,9.54점,드라마,"레바논,프랑스",126분 ,2019.01.24개봉,"나를 세상에 태어나게 한 ""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
362,위대한 쇼맨,2020-06-06,9.30점,"드라마,뮤지컬",미국,104분 ,"2020.05.21재개봉,2017.12.20개봉","쇼 비즈니스의 창시자이자, 꿈의 무대로 전세계를 매료시킨 남자‘바넘’의 이야기에서 영감을 받아 탄생한 오리지널 뮤지컬 영화 . 이후 다시 뮤지컬 영화로 돌아온 휴 잭맨부터 잭 에프론, 미셸 윌리엄스, 레베카 퍼거슨, 젠다야까지할리우드 최고의 배우들이 합류해 환상적인 앙상블을 선보인다.여기에  제작진과  작사팀의 합류로더욱 풍성해진 비주얼과 스토리, 음악까지 선보일 은‘우리는 누구나 특별하다’는 메시지로 관객들에게 재미는 물론, 감동까지 선사할 것이다.THIS IS ME! 우리는 누구나 특별하다!"
363,패왕별희 디 오리지널,2020-06-06,9.64점,드라마,"중국,홍콩",171분 ,"2020.05.01재개봉,2017.03.30재개봉,1993.12.24개봉","어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의).  세상에 둘도 없는 절친한 아우와 형이지만,  ‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다.  하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고,  그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…  사랑과 운명, 아름다움을 뒤바꾼 화려한 막이 열린다!"
364,"나, 다니엘 블레이크",2020-06-06,9.28점,드라마,"영국,프랑스,벨기에",100분 ,2016.12.08개봉,"평생을 성실하게 목수로 살아가던 다니엘은 지병인 심장병이 악화되어 일을 계속 해나갈 수 없는 상황이 된다. 다니엘은 실업급여를 받기 위해 찾아간 관공서에서 복잡하고 관료적인 절차 때문에 번번히 좌절한다. 그러던 어느 날 다니엘은 두 아이와 함께 런던에서 이주한 싱글맘 케이티를 만나 도움을 주게되고, 서로를 의지하게 되는데..."
365,우리들,2020-06-06,9.21점,드라마,한국,94분 ,2016.06.16개봉,"그 여름, 나에게도 친구가 생겼다… “내 마음이 들리니”  언제나 혼자인 외톨이 선은 모두가 떠나고 홀로 교실에 남아있던 방학식 날, 전학생 지아를 만난다. 서로의 비밀을 나누며 순식간에 세상 누구보다 친한 사이가 된 선과 지아는 생애 가장 반짝이는 여름을 보내는데, 개학 후 학교에서 만난 지아는 어쩐 일인지 선에게 차가운 얼굴을 하고 있다.  선을 따돌리는 보라의 편에 서서 선을 외면하는 지아와 다시 혼자가 되고 싶지 않은 선. 어떻게든 관계를 회복해보려 노력하던 선은 결국 지아의 비밀을 폭로해버리고 마는데...  선과 지아.  우리는 다시 '우리'가 될 수 있을까?"
366,톰보이,2020-06-06,8.76점,드라마,프랑스,82분 ,2020.05.14개봉,"새로 이사 온 아이, ‘미카엘’.파란색을 좋아하고, 끝내주는 축구 실력과 유난히 잘 어울리는 짧은 머리로친구들을 사로잡는 그의 진짜 이름은 ‘로레’!눈물겹게 아름답고, 눈부시게 다정했던10살 여름의 비밀 이야기가 시작된다!"
367,러빙 빈센트,2020-06-06,9.18점,"애니메이션,미스터리","영국,폴란드",107분 ,"2018.12.13재개봉,2017.11.09개봉","살아생전 단 한 점의 그림만을 팔았던 화가 ‘빈센트’의 죽음 후 1년. 아버지의 부탁을 받고 ‘빈센트’의 소식을 전하기 위해 떠난 ‘아르망’은‘빈센트’가 마지막 머물렀던 마을에서 놀라운 사실들을 알게 되는데…2017년 반 고흐 열풍을 일으킨 가 탄생되기까지두 명의 감독과 제작자, 107명의 아티스트들이 간직한10년 간의 특별한 스토리가 함께 공개된다."
368,어느 가족,2020-06-06,9.25점,드라마,일본,121분 ,2018.07.26개봉,할머니의 연금과 물건을 훔쳐 생활하며 가난하지만 웃음이 끊이지 않는 어느 가족.우연히 길 위에서 떨고 있는 한 소녀를 발견하고 집으로 데려와 가족처럼 함께 살게 된다.그런데 뜻밖의 사건으로 가족이 뿔뿔이 흩어지게 되고 각자 품고 있던 비밀과 간절한 바람이 드러나게 되는데…
369,시간을 달리는 소녀,2020-06-06,9.41점,"애니메이션,가족,드라마,판타지",일본,97분 ,"2016.01.14재개봉,2014.04.25재개봉,2007.06.14개봉","저 마코토에게는 남들에게 말 못할 비밀이 하나 있어요. 타임리프라고 하는 능력이죠.어느 날 우연히 그 능력을 가지게 됐어요.카즈야 이모 말에 따르면 내 또래 여학생들에게 자주 일어날 수 있는 일이라더군요.아무튼 그 능력 덕택에 학교 성적도 좋아지고,지각도 안하고 잦은 실수도 훨씬 줄어들었어요.세상 만사가 다 내 손안에 있는 느낌이었죠.친한 친구인 고스케와 치아키도 저의 변화가 싫지 않은 것 같아요. 매일 셋이서 야구놀이하며 즐거운 나날을 보낼 수 있을 것 같았죠.그런데 느닷없이 치아키가 저에게 고백을 하는 거에요.""마코토, 나랑 사귀지 않을래?"" 전혀 남자로 보이지 않던 녀석인데 저는 깜짝 놀라고 말았어요. 어떻게든 그 고백을 없애기 위해 다시 과거로 돌아가 결국은 그 고백을 듣지 않게 되었어요. 하지만 과거로 돌아가면 돌아갈수록, 일이 점점 꼬여만 가요. 친구인 유리와 치아키가 연인 사이로 발전하는걸 지켜보려니 마음만 씁쓸하고, 고스케를 짝사랑하고 있던 후배 여학생의 고민상담까지 받은 저는 어떻게서든 두 사람을 이어주기 위해 과거에서 현재로 몇 번을 오갔는지 몰라요. 게다가 제가 당할 뻔한 사고를 대신 고스케가 당하는 불상사까지…타임리프로 사람의 마음을 내 멋대로 바꾼 벌을 받고 있나 봐요. 전 이제 어떡하면 좋을까요?"
370,아이즈 온 미 : 더 무비,2020-06-07,없음,공연실황,한국,104분 ,2020.06.10개봉,"2018년 10월, 데뷔와 동시에 국내외 음원 및 음반차트 석권, 음악방송 1위, 신인상 수상 등 연일 기록을 경신하며 대세 그룹으로 자리잡은 아이즈원(IZ*ONE), 12명의 소녀들이 스크린에 등장!  아이즈원(IZ*ONE)과 위즈원이 함께한 잊을 수 없는 콘서트 현장부터 콘서트 VCR 현장 메이킹, 유닛 신곡 녹음현장, 신곡 안무연습, 현장 리허설 장면 등 다양한 비하인드도 이번 영화를 통해 공개 된다. 위즈원에게 특별한 추억과 선물이 될 영화, 가 온다!"
